Date,EWA,EWC
2015-01-02,13.699929237365723,22.659914016723633
2015-01-05,13.569747924804688,22.0517578125
2015-01-06,13.513957023620605,21.72793197631836
2015-01-07,13.63793659210205,21.751625061035156
2015-01-08,13.817713737487793,22.020164489746094
2015-01-09,13.947892189025879,21.83060646057129
2015-01-12,13.786715507507324,21.483083724975586
2015-01-13,13.786715507507324,21.388307571411133
2015-01-14,13.60074520111084,21.254037857055664
2015-01-15,13.681331634521484,21.13556671142578
2015-01-16,13.836308479309082,21.530475616455078
2015-01-20,13.656536102294922,21.277732849121094
2015-01-21,13.780517578125,21.340919494628906
2015-01-22,13.774317741394043,21.5225772857666
2015-01-23,13.63793659210205,21.530475616455078
2015-01-26,13.687538146972656,21.47518539428711
2015-01-27,13.712328910827637,21.633146286010742
2015-01-28,13.63793659210205,21.088178634643555
2015-01-29,13.66893482208252,20.99339485168457
2015-01-30,13.58834457397461,20.882822036743164
2015-02-02,13.867305755615234,21.43569564819336
2015-02-03,14.164862632751465,22.01226043701172
2015-02-04,14.090471267700195,21.601558685302734
2015-02-05,14.34463119506836,22.028059005737305
2015-02-06,14.251646041870117,21.806909561157227
2015-02-09,14.233049392700195,21.956974029541016
2015-02-10,14.226853370666504,21.799015045166016
2015-02-11,14.016082763671875,21.735828399658203
2015-02-12,14.10286808013916,22.09914207458496
2015-02-13,14.400422096252441,22.178125381469727
2015-02-17,14.493413925170898,22.40717315673828
2015-02-18,14.561600685119629,22.16232681274414
2015-02-19,14.499606132507324,21.980670928955078
2015-02-20,14.580198287963867,21.885892868041992
2015-02-23,14.543002128601074,21.885892868041992
2015-02-24,14.679380416870117,22.01226043701172
2015-02-25,14.778566360473633,22.233413696289062
2015-02-26,14.580198287963867,22.08334732055664
2015-02-27,14.679380416870117,22.130741119384766
2015-03-02,14.691779136657715,22.138635635375977
2015-03-03,14.697979927062988,22.01226043701172
2015-03-04,14.617389678955078,22.028059005737305
2015-03-05,14.543002128601074,21.917484283447266
2015-03-06,14.288836479187012,21.53837013244629
2015-03-09,14.288836479187012,21.451492309570312
2015-03-10,13.960289001464844,21.001293182373047
2015-03-11,13.923097610473633,21.009191513061523
2015-03-12,14.326035499572754,21.159259796142578
2015-03-13,14.047077178955078,20.977602005004883
2015-03-16,14.171056747436523,21.246139526367188
2015-03-17,14.127663612365723,21.269834518432617
2015-03-18,14.549200057983398,21.72793197631836
2015-03-19,14.406625747680664,21.206645965576172
2015-03-20,14.834359169006348,21.6805419921875
2015-03-23,14.939742088317871,21.791112899780273
2015-03-24,14.945942878723145,21.964876174926758
2015-03-25,14.778566360473633,21.74372673034668
2015-03-26,14.635991096496582,21.696338653564453
2015-03-27,14.493413925170898,21.380407333374023
2015-03-30,14.338431358337402,21.396203994750977
2015-03-31,14.171056747436523,21.4672908782959
2015-04-01,14.195854187011719,21.56206512451172
2015-04-02,14.24544620513916,21.822710037231445
2015-04-06,14.375628471374512,22.035959243774414
2015-04-07,14.450018882751465,22.114938735961914
2015-04-08,14.604991912841797,22.114938735961914
2015-04-09,14.567797660827637,22.2097225189209
2015-04-10,14.598793029785156,22.312395095825195
2015-04-13,14.350834846496582,22.280799865722656
2015-04-14,14.431419372558594,22.486154556274414
2015-04-15,14.474811553955078,22.928457260131836
2015-04-16,14.704178810119629,23.031129837036133
2015-04-17,14.431419372558594,22.912656784057617
2015-04-20,14.406625747680664,22.99953842163086
2015-04-21,14.36323070526123,22.809980392456055
2015-04-22,14.400422096252441,22.85737419128418
2015-04-23,14.505810737609863,23.15750503540039
2015-04-24,14.834359169006348,23.125905990600586
2015-04-27,14.908745765686035,23.133804321289062
2015-04-28,15.119512557983398,23.299673080444336
2015-04-29,14.759970664978027,23.331266403198242
2015-04-30,14.456212043762207,22.99953842163086
2015-05-01,14.5368070602417,23.015335083007812
2015-05-04,14.512006759643555,23.1653995513916
2015-05-05,14.493413925170898,22.904762268066406
2015-05-06,14.24544620513916,22.730998992919922
2015-05-07,14.06567668914795,22.644115447998047
2015-05-08,14.220651626586914,22.84947967529297
2015-05-11,13.960289001464844,22.794185638427734
2015-05-12,14.295040130615234,22.77838897705078
2015-05-13,14.592597007751465,22.754697799682617
2015-05-14,14.697979927062988,22.786287307739258
2015-05-15,14.691779136657715,22.84947967529297
2015-05-18,14.400422096252441,22.675710678100586
2015-05-19,14.127663612365723,22.49405288696289
2015-05-20,14.06567668914795,22.478256225585938
2015-05-21,14.21445083618164,22.659914016723633
2015-05-22,14.090471267700195,22.49405288696289
2015-05-26,14.10906982421875,22.035959243774414
2015-05-27,14.115266799926758,22.06755256652832
2015-05-28,13.923097610473633,22.10704803466797
2015-05-29,13.972689628601074,21.941181182861328
2015-06-01,13.867305755615234,21.87009620666504
2015-06-02,13.923097610473633,22.09914207458496
2015-06-03,13.817713737487793,22.122840881347656
2015-06-04,13.396178245544434,21.83850860595703
2015-06-05,13.321786880493164,21.87799644470215
2015-06-08,13.377579689025879,21.601558685302734
2015-06-09,13.321786880493164,21.8148136138916
2015-06-10,13.619343757629395,22.059656143188477
2015-06-11,13.712328910827637,22.01226043701172
2015-06-12,13.582147598266602,21.767414093017578
2015-06-15,13.650337219238281,21.791112899780273
2015-06-16,13.74952220916748,21.8148136138916
2015-06-17,13.780517578125,21.901687622070312
2015-06-18,13.830109596252441,21.964876174926758
2015-06-19,13.84870719909668,21.696338653564453
2015-06-22,13.873506546020508,21.854299545288086
2015-06-23,14.009881019592285,21.996469497680664
2015-06-24,13.947892189025879,21.941181182861328
2015-06-25,13.871707916259766,21.966650009155273
2015-06-26,13.611416816711426,21.91093635559082
2015-06-29,13.268593788146973,21.29014015197754
2015-06-30,13.35112476348877,21.226470947265625
2015-07-01,13.49714183807373,21.138917922973633
2015-07-02,13.579672813415527,21.250349044799805
2015-07-06,13.198756217956543,21.019533157348633
2015-07-07,13.230501174926758,20.971782684326172
2015-07-08,12.855934143066406,20.613630294799805
2015-07-09,12.976555824279785,20.51016616821289
2015-07-10,13.141620635986328,20.725059509277344
2015-07-13,13.147968292236328,20.8205623626709
2015-07-14,13.300333976745605,20.90015411376953
2015-07-15,13.268593788146973,20.725059509277344
2015-07-16,13.42730712890625,20.748929977416992
2015-07-17,13.357474327087402,20.613630294799805
2015-07-20,13.446352005004883,20.327116012573242
2015-07-21,13.478096008300781,20.295269012451172
2015-07-22,13.211456298828125,20.10426139831543
2015-07-23,13.052738189697266,20.000797271728516
2015-07-24,12.836884498596191,19.921201705932617
2015-07-27,12.868629455566406,19.698352813720703
2015-07-28,13.160667419433594,20.000797271728516
2015-07-29,13.198756217956543,20.295269012451172
2015-07-30,13.236851692199707,20.319150924682617
2015-07-31,13.281288146972656,20.33506965637207
2015-08-03,13.167016983032227,20.08833885192871
2015-08-04,13.389214515686035,20.215681076049805
2015-08-05,13.357474327087402,20.223642349243164
2015-08-06,13.027347564697266,20.20772361755371
2015-08-07,12.913071632385254,20.024673461914062
2015-08-10,13.109877586364746,20.438535690307617
2015-08-11,12.659126281738281,20.18384552001953
2015-08-12,12.665474891662598,20.27139663696289
2015-08-13,12.627382278442383,20.016714096069336
2015-08-14,12.60833740234375,20.024673461914062
2015-08-17,12.652776718139648,19.99283218383789
2015-08-18,12.506759643554688,19.929162979125977
2015-08-19,12.601987838745117,19.626724243164062
2015-08-20,12.240119934082031,19.220815658569336
2015-08-21,11.948081016540527,18.711444854736328
2015-08-24,11.008487701416016,18.0269775390625
2015-08-25,11.662394523620605,18.08268928527832
2015-08-26,11.98616886138916,18.464719772338867
2015-08-27,12.221070289611816,19.133270263671875
2015-08-28,12.157583236694336,19.260616302490234
2015-08-31,11.840153694152832,19.316322326660156
2015-09-01,11.294178009033203,18.7034854888916
2015-09-02,11.548120498657227,18.7432804107666
2015-09-03,11.389405250549316,18.894500732421875
2015-09-04,11.13546085357666,18.600025177001953
2015-09-08,11.643346786499023,18.918376922607422
2015-09-09,11.605256080627441,18.751237869262695
2015-09-10,11.656047821044922,18.838794708251953
2015-09-11,11.63700008392334,18.655733108520508
2015-09-14,11.706835746765137,18.5045108795166
2015-09-15,11.694140434265137,18.655733108520508
2015-09-16,11.998867988586426,19.228776931762695
2015-09-17,11.878244400024414,19.220815658569336
2015-09-18,11.8147611618042,18.974092483520508
2015-09-21,11.71318244934082,19.06959342956543
2015-09-22,11.554468154907227,18.600025177001953
2015-09-23,11.319568634033203,18.3453369140625
2015-09-24,11.490981101989746,18.337373733520508
2015-09-25,11.421149253845215,18.369211196899414
2015-09-28,11.243385314941406,17.764333724975586
2015-09-29,11.103719711303711,17.772294998168945
2015-09-30,11.376707077026367,18.305540084838867
2015-10-01,11.471935272216797,18.305540084838867
2015-10-02,11.586211204528809,18.584102630615234
2015-10-05,11.916335105895996,18.974092483520508
